R957308,R617886
R635106,R762795
R981971,R703804
R472604,R939945
R558243,R660959
R495686,R970653
R150402,R658933
R391887,R897608
R864585,R121302
R336999,R841534
R838686,R912036
R454401,R933433
R428553,R308496
R682275,R571062
R845316,R423649
R761142,R703876
R842889,R253739
R850892,R660718
R538444,R454361
R591501,R620028
R949744,R795191
R212189,R184248
R998340,R360702
R238129,R630662
R381565,R425304
R850921,R693278
R480563,R982258
R150040,R748581
R571858,R575192
R783219,R960170
R847795,R779605
R227923,R543593
R884661,R456056
R852425,R819310
R645024,R607425
R326355,R590094
R758398,R639035
R177548,R740821
R307504,R769400
R403954,R726641
R327333,R365968
R455662,R504135
R853258,R801006
R856546,R656171
R352285,R139195
R829949,R220232
R516605,R796055
R798646,R540029
R766798,R897162
R520517,R636667
R269072,R814458
R255659,R767314
R413649,R823804
R966643,R337085
R753435,R255707
R469062,R656739
R240500,R798796
R692758,R487862
R393819,R513936
R159227,R398842
R783801,R893489
R904897,R648624
R153002,R863130
R684800,R682660
R809856,R748382
R767347,R723815
R639289,R684142
R212231,R312305
R570490,R482234
R743287,R431192
R609680,R765863
R440699,R908195
R420580,R146496
R935457,R282908
R343895,R855760
R331089,R831661
R316665,R769760
R717364,R467473
R771364,R939437
R588049,R712457
R281066,R417700
R358621,R688386
R390700,R831277
R156750,R432842
R645737,R380258
R442171,R476635
R589214,R287017
R650863,R459437
R428560,R264470
R412308,R484352
R573009,R331815
R924892,R894889
R865709,R361020
R660947,R492317
R168976,R933397
R519374,R110435
R863146,R304617
R802183,R587620
R823988,R979791
R483437,R806164
R754832,R322327
R724062,R374166
R170065,R536243
R712592,R214452
R137558,R905135
R132722,R462561
R523489,R878692
R464542,R797598
R202274,R883306
R572422,R761428
R698984,R545799
R278611,R828249
R963784,R967033
R786860,R661911
R223993,R532352
R477533,R899475
R949884,R264624
R438610,R931822
R573225,R970220
R802452,R109900
R794225,R104837
R683559,R496965
R924073,R202362
R244900,R394837
R199106,R610628
R475281,R405351
R639593,R439620
R699476,R697230
R129262,R190606
R355826,R460353
R708217,R475255
R145351,R440133
R855718,R418339
R614547,R113565
R374212,R834618
R272595,R757878
R223360,R342314
R339194,R543403
R868907,R755744
R230413,R894919
R162471,R892292
R810978,R444547
R151674,R704435
R341011,R871021
R890121,R242934
R809656,R708256
R295226,R280029
R282520,R473630
R866486,R128019
R689011,R903191
R348984,R584583
R665877,R928536
R907150,R552961
R562507,R682811
R972139,R686641
R787583,R744200
R535243,R789313
R609058,R598481
R707208,R983046
R630547,R906478
R594895,R485896
R844747,R682131
R513115,R340491
R581230,R320949
R209973,R560833
R717239,R496523
R498433,R296303
R497443,R860046
R174247,R304708
R581789,R258837
R973506,R158374
R407261,R130430
R528124,R369500
R895892,R143132
R894218,R125686
R158559,R331086
R205796,R698583
R485777,R281977
R450292,R913785
R223998,R674790
R304597,R685540
R964897,R737521
R995218,R606581
R870921,R782793
R731813,R879688
R786875,R604546
R669036,R426825
R246168,R584104
R266914,R203271
R635461,R431137
R684002,R844540
R354289,R591018
R506051,R890900
R624921,R397224
R273720,R970825
R557398,R683937
R591049,R844681
R284978,R505793
R897072,R771337
R662427,R437273
R462690,R895204
R566228,R712758
R276223,R698342
R772464,R418280
R144314,R830997
R929531,R303320
R563631,R623915
R692112,R372348
R320263,R244860
R506641,R535591
R569483,R256698
R605319,R135190
R762864,R459708
R512807,R665564
R864095,R918381
R775988,R767514
R387035,R995172
R509132,R794887
R322418,R371710
R233719,R833420
R559641,R302591
R602664,R219307
R479060,R507107
R433386,R293190
R819752,R615561
R871163,R557948
R531863,R424391
R487963,R960128
R493340,R281288
R614182,R505302
R338564,R677123
R150211,R118939
R911376,R867107
R240297,R455359
R555159,R916772
R408753,R879617
R380173,R945619
R785445,R702506
R635616,R993279
R528129,R932523
R283848,R780258
R926654,R998885
R520348,R561622
R504472,R921838
R176071,R310602
R594726,R325192
R397563,R577790
R472320,R547212
R579823,R263636
R218943,R294791
R986070,R177986
R649702,R990656
R940266,R771311
R688598,R196467
R476151,R433112
R607152,R809331
R956677,R167023
R465603,R588034
R482187,R724906
R855039,R380400
R876644,R953841
R683692,R591879
R984011,R282674
R303847,R257189
R795479,R507138
R252338,R225779
R437041,R929381
R905961,R689529
R612254,R478535
R671121,R569106
R352498,R416824
R205200,R823789
R417907,R646385
R741778,R191137
R545180,R867178
R688309,R529018
R644271,R326734
R834909,R288426
R745623,R368206
R783384,R379530
R979746,R760288
R272689,R531304
R781977,R937771
R896967,R913501
R172674,R465798
R542168,R767952
R554907,R644878
R885423,R166126
R463532,R858936
R577075,R485745
R600312,R373260
R993482,R615424
R665873,R765039
R834121,R188920
R301797,R694407
R126409,R595575
R608185,R803810
R489755,R235727
R553375,R553580
R752659,R687608
R927820,R826099
R766988,R281579
R203719,R759926
R323190,R970133
R389285,R393131
R219900,R926612
R288749,R639147
R681085,R564087
R179249,R488285
R361824,R539238
R127827,R236098
R776108,R406588
R765704,R481404
R182377,R617510
R710725,R483774
R793543,R993382
R337076,R811384
R519323,R417957
R844733,R831663
R488860,R570746
R110919,R335444
R256940,R893731
R514732,R997672
R666066,R884280
R859266,R150829
R979040,R634617
R297123,R929113
R845138,R653609
R773660,R329269
R191076,R560363
R174757,R804333
R646013,R617061
R863655,R392415
R722202,R994677
R351190,R101078
R782420,R128724
R281549,R618728
R713753,R863953
R593200,R372597
R803293,R145761
R313075,R629932
R779329,R821564
R856457,R260270
R940205,R913926
R604194,R152741
R914840,R414326
R683313,R678254
R436731,R286598
R228204,R599779
R587350,R471132
R544140,R499675
R907741,R284442
R694125,R709295
R550940,R546711
R167821,R788473
R586882,R963281
R173243,R645519
R409635,R630802
R884574,R491413
R188632,R885220
R855091,R270504
R238943,R480042
R836905,R163468
R478084,R812521
R541252,R119995
R887304,R285615
R794929,R716574
R372879,R436491
R862458,R610291
R926525,R225721
R349885,R517599
R364638,R304335
R357102,R562037
R905021,R724387
R921708,R897347
R210075,R758733
R966557,R767348
R987332,R465373
R726905,R290634
R617112,R437854
R890107,R393615
R366315,R692709
R424178,R404808
R434754,R212630
R821435,R922463
R223807,R936935
R768759,R852404
R772786,R608722
R451918,R743365
R921610,R219144
R486189,R925028
R807987,R870077
R884470,R158481
R126480,R717220
R319189,R718783
R289567,R921422
R802456,R502499
R361575,R123782
R898131,R927975
R649108,R635458
R840903,R704596
R523555,R382353
R861374,R269510
R793646,R653988
R593054,R662944
R575582,R522730
R127255,R367421
R832953,R914465
R621960,R423101
R953809,R219845
R781605,R172983
R929544,R467367
R266515,R185861
R192094,R989556
R455185,R753429
R320517,R960945
R325107,R260411
R412957,R803748
R727241,R464814
R303310,R385500
R814053,R111589
R734747,R823542
R295034,R275475
R280232,R686263
R709875,R909619
R257245,R423318
R573738,R115605
R101799,R808793
R836888,R706041
R983448,R543347
R784476,R857755
R959594,R511420
R236806,R101684
R844118,R795520
R227479,R908021
R421434,R152681
R724465,R220560
R398468,R843390
R942782,R663434
R167150,R698379
R292306,R844456
R579171,R854176
R850134,R786297
R856196,R261141
R791526,R915152
R107062,R179505
R796002,R422495
R568045,R539843
R712275,R520539
R717306,R534938
R164544,R693147
R188713,R960760
R540180,R192846
R826616,R883621
R107699,R721677
R530206,R360246
R729070,R665322
R515282,R973365
R224167,R477619
R867350,R304583
R371260,R758389
R739035,R973230
R209956,R512981
R530048,R116044
R211359,R241344
R151934,R906522
R258176,R618136
R399555,R708354
R316867,R419159
R518458,R656722
R525710,R467594
R616740,R339969
R854890,R662935
R106103,R195712
R804151,R100114
R554998,R927344
R977077,R754368
R714107,R941709
R383757,R291315
R116438,R468373
R497302,R256397
R546822,R696741
R128836,R614040
R988841,R329456
R318828,R574293
R270496,R496581
R884428,R657166
R869029,R186782
R501396,R282773
R618692,R355650
R457489,R273248
R928755,R879354
R938555,R138946
R415312,R816143
R339427,R896136
R755452,R265352
R267147,R178952
R294729,R752901
R278482,R264686
R893412,R159191
R310491,R282114
R387350,R729879
R912819,R437420
R943213,R773625
R543794,R898150
R467800,R185453
R775762,R365430
R172009,R203686
R670288,R745156
R514795,R714303
R767222,R927151
R212931,R738956
R183357,R813012
R542120,R499731
R934480,R302014
R857618,R166788
R901683,R316304
R693722,R209175
R434184,R879350
R116074,R772216
R429678,R737866
R333848,R980529
R570326,R505748
R898598,R646371
R827137,R688431
R940000,R105205
R464671,R147730
R812638,R288645
R362471,R486553
R343152,R267201
R343754,R255416
R161320,R810216
R889202,R303345
R985014,R165874
R935965,R436880
R134768,R781822
R838872,R399319
R643006,R489834
R329802,R104217
R247216,R924205
R563544,R249354
R655042,R257754
R953563,R388264
R100265,R778356
R669968,R402024
R270898,R720615
R424210,R113118
R451665,R593773
R608914,R815720
R449934,R848388
R290364,R752611
R374533,R238261
R897269,R925881
R339909,R536336
R472681,R584085
R440065,R839770
R665574,R411134
R759703,R489441
R385743,R458743
R596400,R895960
R921349,R743329
R131413,R766682
R294015,R829903
R175304,R570771
R870262,R603611
R180853,R961361
R903476,R256485
R385173,R754221
R677142,R310946
R261795,R577618
R567027,R679122
R443071,R428149
R603987,R503331
R448181,R839197
R692795,R196049
R532990,R786099
R393912,R219751
R700196,R838107
R830954,R287784
R232620,R366005
R904700,R234242
R669755,R183869
R766716,R231951
R549821,R863623
R202297,R559652
R325441,R119667
R326772,R948781
R646213,R246766
R556763,R263161
R539323,R917558
R308836,R529568
R967748,R363821
R817076,R536759
R766109,R465501
R822803,R979494
R211440,R143997
R286488,R690550
R121084,R817083
R126961,R339376
R938200,R288137
R478234,R640190
R429187,R396646
R986210,R441105
R525315,R401714
R538842,R931918
R270151,R835588
R766890,R501994
R287257,R750192
R151151,R656837
R753893,R798758
R635078,R871705
R285491,R819237
R520273,R163019
R301707,R694762
R261124,R373836
R441670,R504831
R330318,R728376
R511731,R972961
R854454,R877614
R155170,R896581
R356044,R870814
R194824,R607518
R411094,R639603
R743403,R389029
R468283,R817105
R263289,R327861
R244695,R937710
R258450,R105999
R994718,R162155
R440227,R944704
R115975,R825476
R688383,R270543
R935413,R536521
R648796,R545412
R703254,R154707
R986426,R277434
R774106,R151376
R982589,R944774
R776983,R344014
R882041,R395880
R354283,R513345
R195861,R166035
R528963,R597764
R160215,R838986
R905213,R663278
R122818,R934988
R364527,R298619
R118788,R698785
R870256,R175356
R360320,R375250
R293556,R989916
R204034,R592175
R484126,R630772
R464843,R476969
R437197,R443671
R774344,R460787
R340251,R491640
R146453,R263379
R684027,R894528
R714254,R120987
R623996,R569719
R480038,R508100
R646781,R526705
R224309,R400505
R594282,R722475
R701429,R249633
R958955,R844979
R689933,R842087
R366670,R740709
R466287,R509037
R253274,R377690
R322216,R866739
R251779,R805883
R115849,R768555
R491212,R823917
R327003,R482467
R736677,R578483
R240312,R133158
R482835,R788120
R619149,R398377
R353113,R144123
R292362,R623178
R517855,R338828
R928961,R160696
R584361,R306814
R286421,R566260
R436918,R709917
R564299,R501598
R111513,R572597
R196519,R576842
R149955,R609990
R357028,R110661
R459612,R307320
R382119,R362161
R409120,R377209
R928118,R930407
R307942,R724841
R846999,R886095
R902999,R844219
R152078,R677631
R800171,R677276
R819241,R833232
R322032,R384913
R967627,R969302
R939902,R942818
R422580,R513521
R205643,R209078
R360002,R725997
R270274,R973934
R607801,R373698
R376070,R579676
R151226,R332919
R511272,R741844
R434381,R299768
R458309,R652063
R898568,R294438
R375306,R437230
R451723,R899350
R693581,R805515
R243285,R510894
R391977,R954547
R968771,R576525
R146995,R742581
R105574,R681745
R315494,R882909
R956999,R109089
R731515,R613793
R341929,R476802
R754507,R317844
R583593,R239322
R816279,R937284
R994725,R451068
R865526,R970033
R636828,R118531
R672829,R314960
R280721,R371529
R714231,R997337
R209407,R874046
R763721,R844057
R248022,R908958
R652734,R834471
R711684,R136877
R154094,R750099
R848874,R772551
R708617,R342611
R639210,R452966
R904756,R176738
R256310,R673619
R226784,R571929
R530820,R728579
R951469,R118527
R260181,R632107
R979157,R690463
R451802,R973075
R303749,R353694
R856986,R620361
R671305,R556562
R960794,R943711
R118472,R414863
R896122,R828082
R360236,R764617
R722919,R750880
R338058,R223413
R348954,R280559
R995800,R889151
R434695,R724908
R304034,R529800
R482557,R709515
R132081,R823076
R424774,R139034
R539592,R131105
R980176,R790097
R200218,R996320
R746262,R162625
R318424,R477640
R546561,R569847
R222466,R532818
R769757,R241202
R597950,R983643
R727831,R923441
R503848,R662110
R621981,R916604
R264935,R677296
R448530,R659596
R648442,R154930
R357412,R438300
R973820,R221234
R860005,R788228
R842668,R241935
R863644,R390800
R606226,R707312
R611403,R274528
R695103,R776237
R218360,R222664
R310921,R924262
R862397,R514439
R234419,R965478
R918338,R615249
R130447,R582662
R880283,R210753
R731066,R123442
R370926,R947216
R762408,R234479
R708697,R805153
R527052,R362646
R143952,R997616
R392039,R216007
R565424,R631450
R661303,R166833
R816241,R792345
R719023,R634262
R349111,R738025
R616162,R227236
R336851,R266287
R524202,R731567
R705191,R741418
R348280,R548390
R401135,R940763
R336282,R769778
R881386,R201468
R519926,R413006
R576555,R735890
R668566,R219880
R994080,R610392
R182032,R509317
R923039,R785563
R446079,R262426
R894227,R885183
R124322,R741575
R364406,R487493
R114634,R147769
R586173,R380960
R445051,R729753
R782523,R423894
R887890,R451197
R350056,R679806
R463096,R157368
R483978,R389878
R321299,R237520
R981090,R364714
R744652,R563112
R339101,R136245
R791668,R834291
R399235,R800652
R498270,R580601
R550908,R248018
R464394,R303514
R273664,R602631
R760557,R722308
R656358,R161495
R164761,R371306
R194484,R558201
R544463,R851699
R573616,R528774
R194536,R214543
R430520,R328703
R943842,R621074
R596518,R312033
R622894,R299554
R754167,R837393
R851400,R126069
R184434,R548157
R224660,R744126
R439778,R146658
R934212,R417960
R981220,R178114
R550545,R245054
R608625,R136484
R376180,R177728
R601019,R205988
R854195,R485629
R587965,R392362
R968194,R442598
R920446,R202630
R127051,R944186
R916415,R526108
R871542,R578147
R267631,R518897
R693062,R894714
R836756,R567818
R241355,R767939
R183262,R989343
R155114,R262632
R155694,R774167
R768470,R491545
R920174,R536552
R749350,R420587
R972854,R215132
R342471,R407804
R969393,R124155
R848621,R886525
R425044,R273999
R730865,R300936
R550300,R994107
R558695,R303021
R140588,R133452
R148352,R621172
R458813,R495448
R663417,R446806
R205520,R516893
R107666,R465403
R584618,R145832
R904582,R281401
R920039,R395741
R802773,R834534
R339472,R520555
R961754,R697010
R705591,R927569
R424606,R293050
R798001,R875249
R414202,R843338
R532725,R280450
R382617,R110667
R937238,R441469
R650301,R236297
R628996,R824187
R192438,R195568
R112760,R775642
R376260,R488799
R449946,R921801
R494819,R237471
R773935,R285324
R625510,R625211
R918597,R269467
R643079,R244154
R146615,R891977
R358629,R656065
R486873,R487326
R297838,R535564
R236914,R301979
R103019,R662429
R222699,R388900
R172893,R720789
R474083,R472742
R793130,R228949
R268676,R955472
R722342,R591070
R557087,R226821
R419308,R114519
R810500,R848119
R643004,R163572
R579712,R562023
R436882,R414030
R607615,R444827
R681844,R639713
R101465,R270093
R807487,R566073
R760207,R970410
R592123,R883988
R571161,R322256
R505622,R366012
R742644,R933084
R724870,R577730
R614479,R840362
R830491,R854497
R429735,R797625
R130084,R586906
R360137,R862414
R182818,R188147
R186397,R308528
R461134,R822061
R268438,R222186
R949462,R659638
R709626,R238660
R467368,R910182
R307464,R597993
R841618,R445176
R536875,R931468
R136438,R345208
R131538,R904075
R975915,R113065
R541477,R303363
R841667,R647499
R173531,R875539
R288015,R960022
R484797,R356655
R966723,R147774
R745036,R990224
R662346,R482583
R263086,R170950
R373727,R370596
R509377,R865529
R510241,R822193
R784042,R242008
R400599,R250784
R428135,R958772
R919972,R280626
R930600,R876320
R911965,R424542
R550497,R375834
R690068,R280310
R681263,R295110
R132292,R274675
R926895,R821770
R614552,R500209
R908752,R773560
R538256,R404354
R548685,R704935
R450762,R922198
R175510,R913622
R626197,R163814
R120039,R794587
R756693,R845370
R659933,R214218
R365681,R375538
R626560,R118603
R972314,R368385
R163501,R883943
R525540,R858454
R215746,R419204
R615311,R501580
R792058,R902138
R329337,R564323
R905024,R726822
R382703,R665395
R743239,R799526
R372285,R415829
R299120,R360855
R275493,R492965
R135043,R766250
R152415,R194856
R469683,R496441
R624164,R475423
R287293,R394990
R325478,R191603
R239403,R928184
R744793,R857501
R510985,R476664
R862895,R814760
R430262,R964672
R914335,R620364
R521842,R298008
R345832,R136131
R990959,R772506
R337837,R802781
R150287,R715655
R924694,R776624
R976381,R823670
R204825,R611030
R755667,R394632
R981607,R331828
R699685,R838304
R258542,R940792
R591986,R767381
R162140,R298404
R734544,R184199
R854193,R392188
R596223,R592082
R856100,R337249
R967631,R997147
R103245,R660749
R430078,R342749
R636296,R157004
R950528,R987588
R930274,R810943
R887942,R474549
R762337,R175474
R822497,R969041
R602272,R206046
R638011,R534045
R946725,R335377
R949245,R710642
R389104,R195076
R430191,R750817
R568110,R907776
R277053,R449785
R211049,R483713
R150310,R383351
R906331,R949212
R754627,R712949
R122219,R969201
R601790,R334644
R505576,R365280
R782367,R986039
R924637,R997699
R845536,R521630
R843373,R126368
R124526,R113951
R780869,R235066
R237340,R992375
R249456,R361321
R553345,R839366
R480663,R543339
R239378,R453862
R854721,R696024
R731711,R705731
R169527,R808590
R666645,R725139
R940290,R415616
R512892,R209488
R428589,R858084
R429161,R737380
R362827,R899847
R117462,R553730
R698923,R883464
R253820,R449931
R247917,R931402
R724817,R940985
R623493,R163142
R168750,R425594
R231124,R619985
R105355,R639638
R307264,R818374
R815458,R142596
R984967,R902081
R442189,R134697
R114135,R657937
R292440,R323584
R721873,R445092
R616069,R729466
R842119,R916153
R908615,R267942
R669718,R315709
R848435,R822221
R947084,R142298
R331133,R230668
R967911,R934806
R950485,R511156
R623023,R841418
R277288,R457361
R251108,R938079
R174827,R385602
R239496,R765654
R692653,R956553
R441832,R377164
R658585,R649624
R418272,R672491
R618700,R519216
R284133,R194056
R220498,R445358
R772998,R268419
R747767,R141637
R676868,R960023
R227379,R488386
R821610,R288195
R200630,R601880
R108892,R379323
R361471,R713161
R735582,R154865
R988970,R516141
R624986,R460349
R387002,R242044
R667413,R705572
R647933,R861539
R496699,R106788
R385217,R178286
R627452,R319235
R338598,R186338
R121713,R206136
R776063,R272811
R610089,R461036
R375107,R915912
R375997,R707159
R243538,R494526
R390528,R840851
R999080,R115164
R377215,R716923
R203531,R801062
R117975,R989512
R182130,R820508
R901821,R967525
R972595,R853778
R793759,R534024
R214964,R314873
R401063,R835998
R868003,R338445
R214888,R758703
R393519,R345662
R279652,R254564
R640228,R968925
R420611,R481594
R570362,R544153
R830495,R873245
R265778,R184006
R606011,R735810
R478989,R116643
R135159,R908165
R581272,R926544
R940486,R158608
R799659,R337575
R128780,R264913
R907303,R917496
R454636,R825464
R890381,R289379
R239439,R170293
R391862,R191615
R317863,R831184
R647322,R783193
R349543,R364173
R278182,R912772
R320686,R812858
R683120,R431587
R445365,R437585
R338405,R486925
R841385,R319468
R944400,R349093
R593454,R906949
R138289,R807803
R117108,R334002
R299295,R855698
R482795,R878848
R623596,R336834
R793264,R273964
R731408,R812967
R464556,R309567
R508374,R695608
R520076,R226657
R725730,R826147
R814180,R606061
R659730,R245757
R107256,R628831
R557145,R272792
R802580,R603866
R361662,R247724
R525057,R505482
R888547,R890206
R894113,R786530
R952278,R771060
R827966,R552454
R375317,R724753
R335307,R384635
R989058,R377883
R351603,R710742
R197940,R363476
R112408,R732338
R837093,R518305
R958054,R797033
R795654,R530841
R288727,R433044
R161276,R405955
R211293,R692173
R747544,R285287
R458761,R654288
R379108,R154142
R559465,R331977
R217541,R889326
R812942,R892943
R723761,R579435
R622870,R873197
R493240,R763522
R762511,R434717
R334402,R857274
R177018,R977847
R597882,R184885
R225275,R503252
R695287,R473057
R912239,R578168
R227299,R214922
R334596,R672977
R406757,R778591
R310285,R571899
R578347,R690821
R902878,R803033
R191569,R239502
R517376,R533437
R485023,R229010
R475201,R759800
R752271,R116273
R338771,R761832
R206769,R731594
R566008,R178495
R753627,R433555
R658165,R605814
R268999,R993599
R487246,R665878
R163636,R938213
R318395,R121655
R135699,R507871
R978470,R707971
R465017,R911538
R527727,R155971
R193351,R563554
R318975,R814967
R671585,R341117
R313703,R961124
R828870,R282733
R485635,R715883
R684675,R315216
R511596,R265687
R681867,R133484
R268121,R351930
R103852,R627108
R943122,R794088
R164687,R264646
R591195,R825527
R550578,R624638
R337911,R534660
R129964,R515029
R801787,R585600
R852688,R504923
R103874,R717433
R148278,R529596
R192225,R392346
R486760,R198816
R917360,R502618
R639323,R650667
R983800,R119462
R136276,R308485
R763426,R370759
R708865,R947120
R587246,R612030
R485139,R917744
R324385,R967994
R786277,R559458
R958468,R652048
R707135,R549134
R660465,R746661
R139787,R725055
R736259,R433465
R228707,R462871
R925955,R332320
R213802,R753347
R656761,R977942
R938068,R129769
R548409,R186590
R622615,R660763
R876239,R761795
R519018,R357021
R397984,R877607
R663416,R688902
R346142,R634751
R343950,R938723
R427035,R919837
R494335,R963581
R906642,R937479
R332022,R306001
R220078,R970534
R168471,R761095
R181656,R482136
R381844,R556960
R593283,R201903
R339767,R249547
R994473,R814754
R597183,R846735
R669571,R492946
R817300,R460308
R690445,R858139
R930566,R239002
R151947,R658545
R476788,R136423
R195232,R305789
R526984,R648746
R100420,R427714
R977448,R256446
R218809,R459773
R731886,R798817
R895858,R726678
R475927,R592607
R704634,R577401
R202416,R207650
R250811,R825521
R230216,R839777
R474087,R354096
R586884,R856470
R336246,R154608
R615907,R407587
R115434,R855989
R852100,R671020
R450321,R741986
R212817,R479951
R673417,R722000
R849339,R432011
R353314,R734752
R602867,R611773
R102206,R376265
R208906,R483844
R209846,R116231
R480094,R994386
R256733,R349267
R212084,R600672
R106449,R358728
R793970,R808049
R430194,R157085
R787805,R490089
R660624,R988931
R745369,R531908
R375017,R574656
R503035,R158990
R901150,R256725
R244529,R988025
R677816,R478661
R507765,R110579
R510642,R190096
R222692,R141739
R573567,R389382
R129037,R665628
R788562,R239107
R916085,R188413
R741238,R863289
R790295,R706633
R340908,R138741
R299110,R412144
R758386,R603923
R306131,R485484
R529740,R215368
R597377,R793904
R763834,R583218
R307688,R168326
R828137,R834975
R803180,R655430
R473199,R584701
R186021,R883268
R472890,R204674
R538047,R349478
R664510,R664463
R120533,R340547
R810666,R811750
R367292,R526344
R470063,R103166
R971518,R179237
R952074,R648084
R679153,R211902
R529112,R871547
R287889,R457771
R645333,R330620
R470303,R989964
R439371,R200183
R850416,R138198
R478875,R783475
R350530,R726216
R519401,R339979
R612264,R694797
R909043,R844030
R126134,R599794
R686029,R552148
R394158,R870596
R740538,R359517
R264016,R540989
R620532,R817029
R221673,R621639
R289718,R452991
R497907,R498750
R713894,R838703
R420506,R673275
R551981,R876626
R114160,R386979
R816203,R715355
R751501,R820023
R271584,R680773
R969071,R560000
R926373,R549574
R433235,R645743
R532100,R420282
R364249,R292765
R492114,R257413
R296712,R287039
R468895,R411258
R246364,R385426
R684097,R604065
R942410,R936305
R972162,R754061
R110836,R997599
R969425,R614291
R242756,R450684
R873205,R196815
R110384,R930202
R500618,R856791
R806400,R577867
R138150,R266938
R631625,R527434
R586622,R397246
R866401,R365315
R940933,R701503
R128705,R898060
R537609,R468193
R711970,R758109
R813720,R669489
R855449,R335338
R951850,R280133
R170756,R661688
R682258,R640287
R569413,R654555
R508307,R858631
R809254,R272286
R597307,R846831
R919748,R186547
R994472,R589771
R591797,R844077
R121755,R639629
R502914,R266347
R392870,R693249
R176849,R430976
R284919,R765240
R393765,R722478
R679890,R920892
R118660,R604335
R574654,R691553
R686109,R179222
R178103,R171124
R317977,R212609
R952152,R779438
R978619,R257236
R806172,R909407
R195803,R770124
R874544,R209244
R467972,R715229
R890648,R907569
R670962,R201634
R580152,R188452
R623123,R358925
R478751,R971434
R567193,R971453
R922190,R977020
R401286,R187799
R770286,R486897
R653661,R329558
R675120,R574463
R135483,R308831
R957111,R788001
R840863,R191923
R593215,R886646
R731705,R977469
R257121,R134995
R673427,R927365
R395434,R316865
R863499,R121933
R994032,R322107
R381988,R463275
R200412,R155563
R238066,R475873
R683397,R380686
R485681,R447433
R857332,R898531
R772330,R744687
R136703,R139647
R543188,R292914
R316720,R992357
R538251,R999471
R741619,R187326
R218334,R261995
R183203,R395206
R617619,R699066
R265491,R369221
R500561,R905452
R668135,R641068
R432877,R250572
R325199,R866827
R223951,R919553
R488261,R808635
R313945,R426318
R355509,R215095
R213184,R439321
R125111,R191073
R588289,R194146
R459695,R723561
R832017,R548401
R400185,R446903
R322308,R634534
R234825,R242250
R937257,R781792
R674161,R674129
R293432,R404996
R458503,R187290
R370964,R645300
R249347,R664975
R102131,R657144
R449071,R563664
R710098,R804008
R283959,R107892
R834653,R623833
R844876,R968410
R640860,R558109
R850647,R474719
R519660,R427691
R531866,R283731
R725192,R950979
R219506,R317349
R791961,R490221
R132270,R231966
R607526,R582612
R511032,R258167
R730521,R218485
R629529,R472583
R935601,R741746
R632961,R586488
R568602,R818962
R205256,R785873
R626838,R766993
R228541,R304122
R648564,R885181
R558754,R897307
R773693,R322021
R877323,R683512
R697529,R949042
R555955,R888305
R588743,R230689
R839345,R790967
R256164,R119049
R235937,R811550
R432622,R899744
R185657,R818391
R576893,R222320
R222791,R688887
R217303,R358777
R975528,R912309
R103400,R513675
R937713,R560390
R273607,R184837
R919810,R317521
R929769,R420931
R973882,R849499
R145430,R821086
R873027,R631248
R247838,R668168
R191875,R797819
R961278,R878227
R964011,R828838
R973219,R582278
R473789,R576158
R704097,R738959
R154693,R936707
R328381,R475449
R172781,R851145
R885234,R565613
R945956,R503948
R762376,R958817
R411382,R848833
R100877,R507128
R515601,R995596
R929242,R655823
R510044,R387870
R423190,R886463
R471533,R535613
R897422,R694660
R985919,R520196
R161969,R641183
R665637,R143542
R183395,R902669
R392741,R943343
R364787,R878472
R807016,R583918
R131369,R162391
R681296,R946195
R576015,R669885
R398534,R537171
R863993,R598067
R693256,R349015
R975662,R778025
R342191,R607542
R470087,R335747
R329874,R382004
R749187,R517307
R529863,R367496
R159930,R169918
R852013,R176984
R387241,R798690
R727030,R455815
R467117,R930035
R923995,R891703
R262419,R703669
R555347,R908953
R885931,R169148
R581614,R461686
R869706,R539728
R298578,R788417
R885996,R545293
R704432,R428148
R828816,R584229
R126388,R389090
R663833,R436889
R252988,R746360
R877596,R656362
R529118,R804763
R334113,R243895
R703995,R144667
R617955,R263941
R517765,R565307
R477735,R645668
R925046,R993200
R108740,R307021
R361017,R126469
R144659,R800160
R941356,R826749
R271509,R247143
R413046,R784079
R190212,R600673
R976456,R703117
R693591,R983311
R746266,R126128
R146928,R734596
R178589,R521724
R897996,R383173
R685286,R692932
R824250,R816860
R167262,R602949
R171875,R502509
R913985,R749392
R471434,R582880
R447373,R875897
R976375,R310605
R939710,R788450
R984336,R671844
R760669,R734092
R944543,R554130
R993534,R904784
R177436,R840310
R320266,R140488
R289145,R190776
R290187,R921746
R802170,R200913
R900386,R427247
R590737,R135140
R560239,R548921
R359774,R929576
R492737,R817398
R625874,R747378
R884323,R371050
R451686,R646530
R935788,R678515
R223686,R377370
R789463,R358264
R420412,R997056
R992486,R158459
R819075,R686266
R727307,R502729
R364876,R167358
R598669,R284483
R354245,R573735
R885451,R844983
R950760,R517102
R104498,R842350
R719698,R509785
R188514,R465704
R223159,R292249
R172373,R777912
R887922,R551640
R728906,R535604
R749519,R100972
R218631,R922014
R427960,R445569
R515498,R284869
R599156,R789106
R246807,R872953
R489681,R567266
R879456,R506126
R621566,R249734
R417421,R208962
R658730,R942178
R406444,R332596
R335532,R242949
R526002,R479419
R130185,R894268
R642305,R148421
R559444,R313376
R653949,R907461
R380984,R341269
R921731,R771553
R718965,R819533
R927812,R598537
R206198,R974406
